date,ticker,article_count,avg_tone_mean,avg_tone_std
20160930,TRI,6616,-2.2611,2.9928
20160930,NFLX,991,-0.1598,2.381
20160930,MARUTI.NS,319,0.4533,2.0158
20160930,MSFT,1185,0.2536,2.4858
20160930,WMT,358,-0.6383,2.8087
20160930,INTC,279,0.2539,2.5554
20160930,AAPL,400,-1.2284,2.8433
20160930,WEC,331,0.0767,1.3259
20160930,WDC,5,2.4146,1.031
20160930,QCOM,406,-0.1293,1.9799
20160930,WBD,229,0.262,2.3677
20160930,AZN,55,-0.4636,2.0677
20160930,ILMN,6,-0.1652,2.3234
20160930,PEP,109,-0.0284,2.2259
20160930,GOOGL,128,-0.393,2.342
20160930,GOOG,128,-0.393,2.342
20160930,GODREJCP.NS,7,0.5674,1.4434
20160930,WIPRO.NS,102,0.4293,2.7536
20160930,LICI.NS,13,-1.1887,2.7285
20160930,TATASTEEL.NS,107,-1.059,2.5719
20160930,RELIANCE.NS,91,-1.0002,1.6957
20160930,MRVL,13,2.7498,4.6188
20160930,TSLA,202,-2.2705,2.993
20160930,SIEMENS.NS,87,0.8152,1.8331
20160930,ADANIPORTS.NS,2,0.8155,2.2039
20160930,CTSH,241,-1.1496,1.9472
20160930,VEDL.NS,29,0.3794,2.2907
20160930,IOC.NS,51,-0.8858,2.0827
20160930,BPCL.NS,15,0.2778,2.0423
20160930,BHARTIARTL.NS,75,-0.7281,2.7992
20160930,SBUX,405,-0.8199,2.9677
20160930,CSCO,35,0.75,1.6505
20160930,HON,68,0.279,2.6625
20160930,ALKEM.NS,30,-1.5869,2.7336
20160930,BKR,116,-1.51,1.644
20160930,HINDUNILVR.NS,83,1.1182,2.1191
20160930,AMGN,60,-0.3012,2.1648
20160930,KOTAKBANK.NS,44,0.5859,1.8855
20160930,CTAS,8,1.6062,3.2672
20160930,NXPI,6,1.0389,0.5794
20160930,INFY.NS,107,-0.1054,2.9918
20160930,TXN,43,1.4026,1.5213
20160930,CIPLA.NS,66,-1.2224,2.2418
20160930,AEP,13,1.1159,2.3839
20160930,ADANIENT.NS,4,-1.7024,2.5734
20160930,AXISBANK.NS,25,0.6194,2.8268
20160930,BEL.NS,10,1.6049,1.8355
20160930,BAJAJ-AUTO.NS,19,0.1692,1.9696
20160930,GILD,33,0.2853,1.9793
20160930,CHTR,13,1.6868,1.5191
20160930,ONGC.NS,13,-0.426,1.5734
20160930,EA,33,1.506,2.3444
20160930,EXC,13,5.092,1.3229
20160930,MNST,7,-0.3513,0.9975
20160930,STX,55,-0.3038,1.1858
20160930,ARM,49,-0.4939,1.0568
20160930,TITAN.NS,11,2.01,3.5899
20160930,NVDA,60,1.8571,2.1945
20160930,APP,1,1.6626,0.0
20160930,AVGO,33,1.184,1.4499
20160930,MAR,46,2.0304,2.5563
20160930,DABUR.NS,11,1.5372,2.9569
20160930,TCS.NS,18,-0.5748,2.5907
20160930,HAL.NS,4,-0.8923,2.5417
20160930,MU,17,0.6579,3.0825
20160930,VRTX,17,0.8808,1.5139
20160930,AUROPHARMA.NS,5,0.6776,1.995
20160930,PYPL,45,-0.2735,1.1693
20160930,REGN,38,-1.328,3.1339
20160930,CDNS,3,2.4132,0.6084
20160930,MDLZ,12,1.6422,1.5776
20160930,AMAT,5,1.5143,2.7177
20160930,ABNB,4,0.9992,4.0621
20160930,PAGEIND.NS,1,0.3049,0.0
20160930,GRASIM.NS,10,-1.5843,0.7693
20160930,SUNPHARMA.NS,3,-0.855,0.7584
20160930,POWERGRID.NS,11,-1.5276,1.8275
20160930,GEHC,25,0.941,3.2368
20160930,ADI,16,1.4218,1.0846
20160930,AMD,5,1.6698,1.0426
20160930,COALINDIA.NS,5,-0.7083,1.2106
20160930,BIIB,12,-1.0204,2.4776
20160930,LUPIN.NS,6,0.6759,2.5276
20160930,PCAR,4,1.5688,1.7511
20160930,ADBE,11,0.216,2.5324
20160930,PANW,14,-0.739,3.1113
20160930,HINDALCO.NS,3,-0.0494,0.8104
20160930,CUMMINSIND.NS,35,0.4764,3.0475
20160930,EICHERMOT.NS,19,-3.3841,2.3918
20160930,MARICO.NS,2,2.0889,2.2289
20160930,ORLY,3,1.0609,0.0907
20160930,IRCTC.NS,17,-1.8135,1.586
20160930,HINDPETRO.NS,10,0.4414,2.4436
20160930,HDFCBANK.NS,2,1.3001,0.002
20160930,ICICIBANK.NS,4,1.5739,0.3163
20160930,WDAY,5,1.967,1.613
20160930,PAYX,7,-0.5914,1.9502
20160930,OBEROIRLTY.NS,6,1.6543,2.6911
20160930,KDP,4,0.8754,2.0314
20160930,ADANIGREEN.NS,12,-0.3777,1.0012
20160930,TTWO,1,5.2381,0.0
20160930,LULU,2,-1.2519,5.5131
20160930,DXCM,6,-1.1998,0.7348
20160930,HEROMOTOCO.NS,1,3.8634,0.0
20160930,APOLLOHOSP.NS,1,0.6667,0.0
20160930,KHC,7,0.7473,1.4725
20160930,UNITDSPR.NS,3,-1.0949,2.1
20160930,ADSK,13,2.4527,2.55
20160930,PIDILITIND.NS,1,2.5316,0.0
20160930,IDXX,4,2.3344,1.2379
20160930,RECLTD.NS,3,1.5764,1.681
20160930,TATAPOWER.NS,3,0.4743,2.1027
20160930,FAST,3,3.092,0.6347
20160930,SNPS,1,1.8215,0.0
20160930,MCHP,8,0.7666,0.8695
20160930,INTU,1,3.1927,0.0
20160930,AMBUJACEM.NS,1,2.8249,0.0
20160930,ROST,2,1.0733,0.6522
20160930,SHOP,2,0.8888,0.3913
20160930,MELI,2,0.5188,0.1319
20160930,BRITANNIA.NS,4,1.0555,1.5567
